Project Path,Existing Packages,Generated Packages,Unique to Existing Packages,Unique to Generated Packages,Common packages
G:/ReqProject/gitprojects/project\505,44,21,31,8,13
G:/ReqProject/gitprojects/project\506,3,2,2,1,1
G:/ReqProject/gitprojects/project\508,5,3,2,0,3
G:/ReqProject/gitprojects/project\509,6,6,3,3,3
G:/ReqProject/gitprojects/project\511,3,4,0,1,3
G:/ReqProject/gitprojects/project\513,4,2,2,0,2
G:/ReqProject/gitprojects/project\514,3,2,1,0,2
G:/ReqProject/gitprojects/project\517,19,7,12,0,7
G:/ReqProject/gitprojects/project\519,2,2,0,0,2
G:/ReqProject/gitprojects/project\520,2,2,0,0,2
G:/ReqProject/gitprojects/project\522,3,2,3,2,0
G:/ReqProject/gitprojects/project\523,2,1,2,1,0
G:/ReqProject/gitprojects/project\524,2,8,0,6,2
G:/ReqProject/gitprojects/project\525,2,2,1,1,1
G:/ReqProject/gitprojects/project\527,38,4,34,0,4
G:/ReqProject/gitprojects/project\528,1,2,1,2,0
G:/ReqProject/gitprojects/project\532,2,2,0,0,2
G:/ReqProject/gitprojects/project\534,3,1,3,1,0
G:/ReqProject/gitprojects/project\535,1,2,0,1,1
G:/ReqProject/gitprojects/project\536,3,4,0,1,3
G:/ReqProject/gitprojects/project\537,9,2,7,0,2
G:/ReqProject/gitprojects/project\538,7,1,6,0,1
G:/ReqProject/gitprojects/project\539,3,12,1,10,2
G:/ReqProject/gitprojects/project\540,2,6,2,6,0
G:/ReqProject/gitprojects/project\543,1,3,0,2,1
G:/ReqProject/gitprojects/project\547,11,7,6,2,5
G:/ReqProject/gitprojects/project\551,15,6,9,0,6
G:/ReqProject/gitprojects/project\553,7,3,4,0,3
G:/ReqProject/gitprojects/project\554,1,4,0,3,1
G:/ReqProject/gitprojects/project\556,18,4,14,0,4
G:/ReqProject/gitprojects/project\557,2,3,1,2,1
G:/ReqProject/gitprojects/project\558,3,4,1,2,2
G:/ReqProject/gitprojects/project\559,17,2,15,0,2
G:/ReqProject/gitprojects/project\560,2,7,1,6,1
G:/ReqProject/gitprojects/project\561,5,2,3,0,2
G:/ReqProject/gitprojects/project\562,6,8,1,3,5
G:/ReqProject/gitprojects/project\563,16,2,14,0,2
G:/ReqProject/gitprojects/project\564,1,2,0,1,1
G:/ReqProject/gitprojects/project\565,3,3,0,0,3
G:/ReqProject/gitprojects/project\566,11,5,7,1,4
G:/ReqProject/gitprojects/project\567,7,6,4,3,3
G:/ReqProject/gitprojects/project\569,4,2,3,1,1
G:/ReqProject/gitprojects/project\570,1,1,1,1,0
G:/ReqProject/gitprojects/project\571,1,1,1,1,0
G:/ReqProject/gitprojects/project\572,33,24,18,9,15
G:/ReqProject/gitprojects/project\573,4,2,2,0,2
G:/ReqProject/gitprojects/project\574,1,1,1,1,0
G:/ReqProject/gitprojects/project\575,1,1,0,0,1
G:/ReqProject/gitprojects/project\576,4,1,3,0,1
G:/ReqProject/gitprojects/project\577,2,2,0,0,2
G:/ReqProject/gitprojects/project\582,3,2,1,0,2
G:/ReqProject/gitprojects/project\583,3,2,1,0,2
G:/ReqProject/gitprojects/project\584,8,5,3,0,5
G:/ReqProject/gitprojects/project\585,25,3,22,0,3
G:/ReqProject/gitprojects/project\587,16,8,12,4,4
G:/ReqProject/gitprojects/project\590,2,1,1,0,1
G:/ReqProject/gitprojects/project\592,7,10,1,4,6
G:/ReqProject/gitprojects/project\594,9,5,7,3,2
G:/ReqProject/gitprojects/project\596,5,3,4,2,1
G:/ReqProject/gitprojects/project\597,1,2,0,1,1
G:/ReqProject/gitprojects/project\598,6,4,4,2,2
G:/ReqProject/gitprojects/project\600,1,1,0,0,1
G:/ReqProject/gitprojects/project\601,18,15,11,8,7
G:/ReqProject/gitprojects/project\604,6,3,3,0,3
G:/ReqProject/gitprojects/project\605,2,1,2,1,0
G:/ReqProject/gitprojects/project\606,5,4,5,4,0
G:/ReqProject/gitprojects/project\607,2,1,2,1,0
G:/ReqProject/gitprojects/project\608,1,2,1,2,0
G:/ReqProject/gitprojects/project\609,1,3,0,2,1
G:/ReqProject/gitprojects/project\611,7,2,7,2,0
